,target,location,aircraft_damage,make,model,number_of_engines,engine_type,weather_conditions,phase_of_flight,Year,Month,Day,injuries,pax_onboard,fatality_percentage,survived,amateur_built
0,4,1725,0,2963,976,1.0,0,2,1,1982,6,13,1.0,1.0,0.0,1.0,0
1,4,7692,0,2963,3852,1.0,0,2,2,1982,7,1,2.0,2.0,0.0,2.0,1
2,0,4221,0,2963,6619,1.0,0,2,0,1982,7,16,1.0,1.0,100.0,0.0,1
3,4,12735,0,2963,4236,1.0,0,2,6,1982,8,21,0.0,1.0,0.0,1.0,1
4,4,11332,2,2963,5820,1.0,0,2,5,1982,8,24,0.0,1.0,0.0,1.0,1
5,4,9901,2,2963,5980,1.0,0,2,9,1982,9,11,2.0,2.0,0.0,2.0,1
6,0,3680,2,2963,3604,1.0,0,2,0,1982,10,23,1.0,1.0,100.0,0.0,1
7,4,5824,2,2963,5288,1.0,0,2,9,1990,11,2,0.0,1.0,0.0,1.0,1
8,4,3360,2,2963,6469,2.0,5,2,9,2007,9,2,0.0,2.0,0.0,2.0,0
9,0,10888,0,0,3276,1.0,0,2,6,1994,6,8,1.0,1.0,100.0,0.0,1
10,4,12544,2,1,2675,1.0,0,2,2,1990,5,27,0.0,1.0,0.0,1.0,1
11,0,10668,0,2,3793,1.0,0,2,6,1992,2,4,1.0,1.0,100.0,0.0,1
12,4,7483,0,3,3458,1.0,0,2,9,1992,5,30,0.0,1.0,0.0,1.0,1
13,4,9475,2,4,5286,1.0,0,2,9,1994,8,27,1.0,1.0,0.0,1.0,1
14,0,7947,0,5,3414,2.0,5,2,9,1999,6,13,1.0,1.0,100.0,0.0,0
15,4,8891,0,6,3500,1.0,0,2,9,1989,7,30,0.0,1.0,0.0,1.0,1
16,4,10322,2,7,4001,1.0,0,2,3,1991,9,27,1.0,1.0,0.0,1.0,1
17,4,11288,2,7,6013,1.0,0,2,6,2000,9,5,0.0,1.0,0.0,1.0,1
18,4,8935,0,8,4512,1.0,0,2,6,1999,1,17,0.0,1.0,0.0,1.0,1
19,4,8056,2,9,6291,1.0,0,2,2,1999,5,16,1.0,1.0,0.0,1.0,1
20,4,7947,0,10,5170,1.0,0,2,1,1992,9,20,2.0,2.0,0.0,2.0,1
21,4,13045,2,11,2642,1.0,0,2,9,1994,7,24,1.0,1.0,0.0,1.0,1
22,4,6555,2,12,1515,1.0,0,2,9,1993,3,6,0.0,1.0,0.0,1.0,1
23,4,9445,2,13,5610,1.0,0,2,9,1989,8,13,1.0,1.0,0.0,1.0,1
24,4,5907,2,14,1802,2.0,5,2,5,1989,3,11,4.0,5.0,0.0,5.0,0
25,4,11173,2,14,3810,1.0,0,2,5,1995,10,10,1.0,1.0,0.0,1.0,1
26,4,3835,2,14,5359,1.0,0,2,5,1999,6,13,0.0,1.0,0.0,1.0,1
27,4,718,0,14,1490,0.0,5,2,5,1984,7,14,1.0,5.0,0.0,5.0,0
28,4,4606,0,14,1446,0.0,5,2,2,1990,1,21,1.0,1.0,0.0,1.0,0
29,4,13675,2,14,1490,2.0,5,2,5,1983,10,8,1.0,6.0,0.0,6.0,0
30,4,226,2,14,1446,0.0,5,2,0,1989,10,8,0.0,3.0,0.0,3.0,0
31,4,4804,2,14,1447,2.0,5,2,5,1984,5,31,1.0,1.0,0.0,1.0,0
32,4,7093,2,14,1447,2.0,5,2,8,2000,3,18,3.0,3.0,0.0,3.0,0
33,4,13622,0,14,1447,2.0,5,2,8,1999,7,3,2.0,2.0,0.0,2.0,0
34,4,629,2,14,1450,2.0,5,2,9,1990,5,27,1.0,5.0,0.0,5.0,0
35,0,4425,2,14,1447,2.0,5,2,3,1997,12,6,1.0,2.0,50.0,1.0,0
36,4,11900,2,14,6265,1.0,0,2,9,1994,7,3,1.0,1.0,0.0,1.0,1
37,4,3997,2,14,2243,1.0,0,2,0,1990,5,19,0.0,1.0,0.0,1.0,1
38,0,6269,0,14,5869,1.0,0,2,9,1997,11,16,1.0,1.0,100.0,0.0,1
